,Report Time,Time,Home Team,Away Team,Home Max,Away Max,Margin,Max Home Operator,Max Away Operator
1,2020-01-31 01:32,02:00,Washington Wizards,Charlotte Hornets,1.62,2.51,-1.5690325119275983,Unibet HW,TOPsport AW
2,2020-01-31 01:32,02:30,Atlanta Hawks,Philadelphia 76ers,3.38,1.4,-1.0143702451394732,TOPsport HW,Unibet AW
3,2020-01-31 01:32,03:00,Boston Celtics,Golden State Warriors,1.11,8.98,-1.2259475511145785,TOPsport HW,Optibet AW
4,2020-01-31 01:32,05:30,Los Angeles Clippers,Sacramento Kings,1.1,9.14,-1.8500099462900308,TOPsport HW,Optibet AW
0,2020-01-31 01:40,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.22,-0.4857316332726125,Unibet HW,TOPsport AW
1,2020-01-31 01:40,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-31 01:40,02:30,Atlanta Hawks,Philadelphia 76ers,3.38,1.4,-1.0143702451394732,TOPsport HW,Unibet AW
3,2020-01-31 01:40,03:00,Boston Celtics,Golden State Warriors,1.11,8.98,-1.2259475511145785,TOPsport HW,Optibet AW
4,2020-01-31 01:40,05:30,Los Angeles Clippers,Sacramento Kings,1.1,9.14,-1.8500099462900308,TOPsport HW,Optibet AW
0,2020-02-01 17:08,22:30,Los Angeles Clippers,Minnesota Timberwolves,1.22,5.4,-0.48573163327261804,Cbet HW,TOPsport AW
1,2020-02-01 17:08,02:00,Indiana Pacers,New York Knicks,1.19,5.5,-2.2154316271963346,TOPsport HW,Optibet AW
2,2020-02-01 17:08,02:00,Orlando Magic,Miami Heat,2.25,1.79,-0.3103662321539358,Cbet HW,TOPsport AW
3,2020-02-01 17:08,03:00,Cleveland Cavaliers,Golden State Warriors,1.85,2.08,-2.1309771309771186,TOPsport HW,Betsafe AW
4,2020-02-01 17:08,03:00,Washington Wizards,Brooklyn Nets,1.91,2.0,-2.3560209424083767,Cbet HW,TOPsport AW
5,2020-02-01 17:08,03:30,Dallas Mavericks,Atlanta Hawks,1.5,2.93,-0.7963594994311651,Cbet HW,TOPsport AW
6,2020-02-01 17:08,03:30,Boston Celtics,Philadelphia 76ers,1.7,2.3,-2.3017902813299296,TOPsport HW,Cbet AW
7,2020-02-01 17:08,04:00,San Antonio Spurs,Charlotte Hornets,1.28,4.25,-1.654411764705882,TOPsport HW,Cbet AW
8,2020-02-01 17:08,05:00,Sacramento Kings,Los Angeles Lakers,3.38,1.45,1.448683942052642,TOPsport HW,Optibet AW
9,2020-02-01 17:08,05:30,Portland Trail Blazers,Utah Jazz,3.0,1.53,1.3071895424836666,Unibet HW,TOPsport AW
0,2020-02-01 17:32,22:30,Los Angeles Clippers,Minnesota Timberwolves,1.22,5.4,-0.48573163327261804,Cbet HW,TOPsport AW
1,2020-02-01 17:32,02:00,Indiana Pacers,New York Knicks,1.19,5.5,-2.2154316271963346,TOPsport HW,Optibet AW
2,2020-02-01 17:32,02:00,Orlando Magic,Miami Heat,2.25,1.79,-0.3103662321539358,Cbet HW,TOPsport AW
3,2020-02-01 17:32,03:00,Cleveland Cavaliers,Golden State Warriors,1.85,2.08,-2.1309771309771186,TOPsport HW,Betsafe AW
4,2020-02-01 17:32,03:00,Washington Wizards,Brooklyn Nets,1.9,2.0,-2.631578947368418,TOPsport HW,TOPsport AW
5,2020-02-01 17:32,03:30,Dallas Mavericks,Atlanta Hawks,1.5,2.93,-0.7963594994311651,Cbet HW,TOPsport AW
6,2020-02-01 17:32,03:30,Boston Celtics,Philadelphia 76ers,1.7,2.3,-2.3017902813299296,TOPsport HW,Cbet AW
7,2020-02-01 17:32,04:00,San Antonio Spurs,Charlotte Hornets,1.28,4.25,-1.654411764705882,TOPsport HW,Cbet AW
8,2020-02-01 17:32,05:00,Sacramento Kings,Los Angeles Lakers,3.38,1.42,-0.008334027835654734,TOPsport HW,Unibet AW
9,2020-02-01 17:32,05:30,Portland Trail Blazers,Utah Jazz,3.05,1.53,1.85363762991535,Cbet HW,TOPsport AW
0,2020-02-02 01:00,02:00,Indiana Pacers,New York Knicks,1.19,6.16,-0.2673796791443861,TOPsport HW,Optibet AW
1,2020-02-02 01:00,02:00,Orlando Magic,Miami Heat,2.14,1.8,-2.2845275181723856,TOPsport HW,Unibet AW
2,2020-02-02 01:00,03:00,Cleveland Cavaliers,Golden State Warriors,1.85,2.06,-2.597743374442396,TOPsport HW,TOPsport AW
3,2020-02-02 01:00,03:00,Washington Wizards,Brooklyn Nets,2.02,1.86,-3.268391355264555,Unibet HW,Olybet AW
4,2020-02-02 01:00,03:30,Dallas Mavericks,Atlanta Hawks,1.57,2.6,-2.155805977462022,Unibet HW,TOPsport AW
5,2020-02-02 01:00,03:30,Boston Celtics,Philadelphia 76ers,1.98,2.0,-0.5050505050505083,Olybet HW,TOPsport AW
6,2020-02-02 01:00,04:00,San Antonio Spurs,Charlotte Hornets,1.28,4.5,-0.347222222222221,TOPsport HW,Unibet AW
7,2020-02-02 01:00,05:00,Sacramento Kings,Los Angeles Lakers,3.38,1.38,-2.049566932510083,TOPsport HW,Unibet AW
8,2020-02-02 01:00,05:30,Portland Trail Blazers,Utah Jazz,3.0,1.45,-2.298850574712641,Unibet HW,TOPsport AW
0,2020-02-02 01:08,02:00,Indiana Pacers,New York Knicks,1.19,6.16,-0.2673796791443861,TOPsport HW,Optibet AW
1,2020-02-02 01:08,02:00,Orlando Magic,Miami Heat,2.14,1.8,-2.2845275181723856,TOPsport HW,Unibet AW
2,2020-02-02 01:08,03:00,Cleveland Cavaliers,Golden State Warriors,1.85,2.06,-2.597743374442396,TOPsport HW,TOPsport AW
3,2020-02-02 01:08,03:00,Washington Wizards,Brooklyn Nets,2.02,1.86,-3.268391355264555,Unibet HW,Olybet AW
4,2020-02-02 01:08,03:30,Dallas Mavericks,Atlanta Hawks,1.57,2.6,-2.155805977462022,Optibet HW,TOPsport AW
5,2020-02-02 01:08,03:30,Boston Celtics,Philadelphia 76ers,1.98,2.0,-0.5050505050505083,Olybet HW,TOPsport AW
6,2020-02-02 01:08,04:00,San Antonio Spurs,Charlotte Hornets,1.28,4.5,-0.347222222222221,TOPsport HW,Unibet AW
7,2020-02-02 01:08,05:00,Sacramento Kings,Los Angeles Lakers,3.38,1.38,-2.049566932510083,TOPsport HW,Unibet AW
8,2020-02-02 01:08,05:30,Portland Trail Blazers,Utah Jazz,3.0,1.45,-2.298850574712641,Unibet HW,TOPsport AW
0,2020-02-02 12:48,19:30,Detroit Pistons,Denver Nuggets,2.2,1.76,-2.272727272727282,Olybet HW,TOPsport AW
1,2020-02-02 12:48,21:00,Milwaukee Bucks,Phoenix Suns,1.14,8.5,0.5159958720330177,TOPsport HW,Unibet AW
2,2020-02-02 12:48,21:00,Houston Rockets,New Orleans Pelicans,1.52,2.81,-1.3766622963101771,Unibet HW,TOPsport AW
3,2020-02-02 12:48,22:00,Toronto Raptors,Chicago Bulls,1.18,5.7,-2.28962236098722,TOPsport HW,TOPsport AW
0,2020-02-02 12:56,19:30,Detroit Pistons,Denver Nuggets,2.15,1.76,-3.329809725158561,TOPsport HW,TOPsport AW
1,2020-02-02 12:56,21:00,Milwaukee Bucks,Phoenix Suns,1.14,8.5,0.5159958720330177,TOPsport HW,Unibet AW
2,2020-02-02 12:56,21:00,Houston Rockets,New Orleans Pelicans,1.52,2.81,-1.3766622963101771,Unibet HW,TOPsport AW
3,2020-02-02 12:56,22:00,Toronto Raptors,Chicago Bulls,1.18,5.7,-2.28962236098722,TOPsport HW,TOPsport AW
0,2020-02-02 13:24,19:30,Detroit Pistons,Denver Nuggets,2.15,1.76,-3.329809725158561,TOPsport HW,TOPsport AW
1,2020-02-02 13:24,21:00,Milwaukee Bucks,Phoenix Suns,1.14,7.5,-1.0526315789473744,TOPsport HW,Unibet AW
2,2020-02-02 13:24,21:00,Houston Rockets,New Orleans Pelicans,1.52,2.81,-1.3766622963101771,Unibet HW,TOPsport AW
3,2020-02-02 13:24,22:00,Toronto Raptors,Chicago Bulls,1.18,5.7,-2.28962236098722,TOPsport HW,TOPsport AW
0,2020-02-02 13:34,19:30,Detroit Pistons,Denver Nuggets,2.2,1.76,-2.272727272727282,Olybet HW,TOPsport AW
1,2020-02-02 13:34,21:00,Milwaukee Bucks,Phoenix Suns,1.14,8.0,-0.21929824561404132,TOPsport HW,Olybet AW
2,2020-02-02 13:34,21:00,Houston Rockets,New Orleans Pelicans,1.52,2.81,-1.3766622963101771,Unibet HW,TOPsport AW
3,2020-02-02 13:34,22:00,Toronto Raptors,Chicago Bulls,1.18,5.7,-2.28962236098722,TOPsport HW,TOPsport AW
0,2020-02-02 13:48,19:30,Detroit Pistons,Denver Nuggets,2.2,1.76,-2.272727272727282,Olybet HW,TOPsport AW
1,2020-02-02 13:48,21:00,Milwaukee Bucks,Phoenix Suns,1.14,8.0,-0.21929824561404132,TOPsport HW,Olybet AW
2,2020-02-02 13:48,21:00,Houston Rockets,New Orleans Pelicans,1.52,2.81,-1.3766622963101771,Unibet HW,TOPsport AW
3,2020-02-02 13:48,22:00,Toronto Raptors,Chicago Bulls,1.18,5.7,-2.28962236098722,TOPsport HW,TOPsport AW
0,2020-02-02 13:56,19:30,Detroit Pistons,Denver Nuggets,2.15,1.76,-3.329809725158561,TOPsport HW,TOPsport AW
1,2020-02-02 13:56,21:00,Milwaukee Bucks,Phoenix Suns,1.14,7.5,-1.0526315789473744,TOPsport HW,Unibet AW
2,2020-02-02 13:56,21:00,Houston Rockets,New Orleans Pelicans,1.52,2.81,-1.3766622963101771,Unibet HW,TOPsport AW
3,2020-02-02 13:56,22:00,Toronto Raptors,Chicago Bulls,1.18,5.7,-2.28962236098722,TOPsport HW,TOPsport AW
0,2020-02-02 14:00,19:30,Detroit Pistons,Denver Nuggets,2.15,1.76,-3.329809725158561,TOPsport HW,TOPsport AW
1,2020-02-02 14:00,21:00,Milwaukee Bucks,Phoenix Suns,1.14,8.0,-0.21929824561404132,TOPsport HW,Olybet AW
2,2020-02-02 14:00,21:00,Houston Rockets,New Orleans Pelicans,1.52,2.81,-1.3766622963101771,Unibet HW,TOPsport AW
3,2020-02-02 14:00,22:00,Toronto Raptors,Chicago Bulls,1.18,5.7,-2.28962236098722,TOPsport HW,TOPsport AW
0,2020-02-02 14:08,19:30,Detroit Pistons,Denver Nuggets,2.2,1.76,-2.272727272727282,Olybet HW,TOPsport AW
1,2020-02-02 14:08,21:00,Milwaukee Bucks,Phoenix Suns,1.14,8.0,-0.21929824561404132,TOPsport HW,Olybet AW
2,2020-02-02 14:08,21:00,Houston Rockets,New Orleans Pelicans,1.52,2.81,-1.3766622963101771,Unibet HW,TOPsport AW
3,2020-02-02 14:08,22:00,Toronto Raptors,Chicago Bulls,1.18,5.7,-2.28962236098722,TOPsport HW,TOPsport AW
0,2020-02-02 14:16,19:30,Detroit Pistons,Denver Nuggets,2.2,1.76,-2.272727272727282,Olybet HW,TOPsport AW
1,2020-02-02 14:16,21:00,Milwaukee Bucks,Phoenix Suns,1.14,8.0,-0.21929824561404132,TOPsport HW,Olybet AW
2,2020-02-02 14:16,21:00,Houston Rockets,New Orleans Pelicans,1.52,2.81,-1.3766622963101771,Unibet HW,TOPsport AW
